ID,Pantalla / Vista,Elemento,Tipo de prueba,Descripción de la prueba,Pasos para reproducir,Resultado esperado,Resultado obtenido,Estado,Observaciones,Notas Técnicas
DIR-082,FilterResultsPage,Subtítulo categoría,UI - Texto,Verificar subtítulo con categoría seleccionada,1. Realizar búsqueda\n2. Verificar subtítulo,"Subtítulo visible con:
- Texto: '[NOMBRE] seleccionado' en mayúsculas
- Padding vertical: 10px
- Estilo Text aplicado",,,Pendiente,Text toUpperCase() con nombre de categoría
DIR-083,FilterResultsPage,Lista de resultados,UI - Lista,Verificar lista de resultados cuando hay datos,1. Realizar búsqueda con resultados\n2. Verificar lista,"Lista visible si listToShow.isNotEmpty:
- ListView.builder scrolleable
- ScrollController configurado
- Scrollbar visible
- Items con CardItemsResults",,,Pendiente,Expanded con Scrollbar y Obx
DIR-084,FilterResultsPage,Item resultado médico,UI - Card específica,Verificar formato de card para resultados de médicos,1. Buscar médicos\n2. Verificar formato de cards,"Card médico muestra:
- Título: nombre completo del médico
- Subtítulo: círculo médico y tabulador
- Descripción: dirección completa
- Teléfono: teléfono completo
- Coordenadas: latitud/longitud",,,Pendiente,ItemsResultsMdl para case 'medicos'
DIR-085,FilterResultsPage,Item resultado hospital,UI - Card específica,Verificar formato de card para resultados de hospitales,1. Buscar hospitales\n2. Verificar formato de cards,"Card hospital muestra:
- Título: razón social
- Subtítulo: niveles hospitalarios
- Descripción: dirección completa
- Teléfono: teléfono completo
- Coordenadas: latitud/longitud",,,Pendiente,ItemsResultsMdl para case 'hospitales'
DIR-086,FilterResultsPage,Item resultado clínica,UI - Card específica,Verificar formato de card para resultados de clínicas,1. Buscar clínicas\n2. Verificar formato de cards,"Card clínica muestra:
- Título: nombre comercial
- Subtítulo: nivel hospitalario abreviado
- Descripción: dirección completa
- Teléfono: teléfono completo
- Coordenadas: latitud/longitud",,,Pendiente,ItemsResultsMdl para case 'clinicas'
DIR-087,FilterResultsPage,Item resultado otros servicios,UI - Card específica,Verificar formato de card para resultados de otros servicios,1. Buscar otros servicios\n2. Verificar formato de cards,"Card otros servicios muestra:
- Título: nombre comercial
- Subtítulo: tipo de servicio
- Descripción: dirección completa
- Teléfono: teléfono completo
- Coordenadas: latitud/longitud",,,Pendiente,ItemsResultsMdl para case 'otros_servicios'
DIR-088,FilterResultsPage,Navegación a mapa,Funcional - Navegación,Verificar navegación al tocar resultado individual,1. Tocar cualquier resultado de la lista,"Navegación exitosa a ItemMapPage:
- Get.toNamed ejecutado
- Argumentos: item y titleAppBar
- Transición correcta de pantalla",,,Pendiente,InkWell onTap con argumentos
DIR-089,FilterResultsPage,Scroll infinito,Funcional - Paginación,Verificar scroll infinito y carga de más resultados,1. Realizar búsqueda con muchos resultados\n2. Scroll hasta el final\n3. Verificar carga automática,"Paginación funcional:
- ScrollController detecta final
- loadNextPage() ejecutado automáticamente
- isFetchingMore muestra loading
- currentPage incrementado",,,Pendiente,_onScroll() con maxScrollExtent
DIR-090,FilterResultsPage,Indicador loading paginación,UI - Loading,Verificar indicador de loading durante paginación,1. Scroll hasta activar paginación\n2. Verificar indicador,"Loading paginación visible:
- CircularProgressIndicator al final de lista
- Padding: 8px
- Centrado horizontalmente
- Solo visible cuando isFetchingMore.value",,,Pendiente,Item adicional en ListView cuando isFetchingMore
DIR-091,FilterResultsPage,Mensaje sin resultados,UI - Estado vacío,Verificar mensaje cuando no hay resultados,1. Realizar búsqueda sin coincidencias,"Mensaje sin resultados:
- Container con altura 40% y ancho 90%
- Texto centrado en bottomCenter
- Mensaje: 'No se encontraron resultados con los filtros seleccionados'
- Estilo: bodyMedium, color black54, fontSize 20",,,Pendiente,Visible cuando listToShow.isEmpty
DIR-092,FilterResultsPage,Estado Loading,Estado - Carga,Verificar estado de loading durante carga inicial,1. Navegar a FilterResultsPage\n2. Observar durante carga inicial,Pantalla muestra LoadingGnp centrado mientras carga resultados,,,Pendiente,RxStatus.loading() durante setTypeSearch
DIR-093,FilterResultsPage,Estado Empty,Estado - Sin datos,Verificar estado cuando no se encuentran datos,1. Realizar búsqueda que retorne vacío del API,"Estado empty correcto:
- LoadingGnp con isPositionUp: false
- Placeholder icon con altura 60%
- Título: 'noResultsFound'
- Subtítulo: 'selectBtnToContinue'",,,Pendiente,onEmpty con placeholder personalizado
DIR-094,FilterResultsPage,Estado Error,Estado - Error,Verificar estado de error en carga de resultados,1. Simular error de API\n2. Intentar cargar resultados,"Estado error correcto:
- LoadingGnp con ícono error
- Título: 'errorLoadingInfo'
- Subtítulo: 'pleaseTryAgainLater'
- Color primary aplicado",,,Pendiente,onError con mensajes específicos
DIR-095,FilterResultsPage,Argumentos recibidos,Integración - Datos,Verificar recepción correcta de argumentos desde FilterPage,1. Configurar filtros y buscar\n2. Verificar argumentos recibidos,"ItemToSearchDirectoryMdl recibido correctamente:
- Todos los filtros configurados
- Tipo de búsqueda correcto
- Datos completos para API call",,,Pendiente,Get.arguments en onInit()
DIR-096,FilterResultsPage,API call inicial,Integración - API,Verificar llamada inicial al API según tipo de búsqueda,1. Navegar a FilterResultsPage\n2. Verificar API call,"API llamado correctamente según tipo:
- setTypeSearch() ejecutado
- Endpoint específico usado
- FilterString construido
- Resultados procesados",,,Pendiente,setTypeSearch() con switch por idPage
DIR-097,FilterResultsPage,API call paginación,Integración - API,Verificar llamadas adicionales para paginación,1. Activar scroll infinito\n2. Verificar llamadas API,"Paginación API correcta:
- Mismo endpoint con página incrementada
- Resultados se agregan a lista existente
- currentPage actualizado correctamente",,,Pendiente,loadNextPage() con currentPage.value++
DIR-098,FilterResultsPage,Gestión de datos,Integración - Procesamiento,Verificar procesamiento correcto de diferentes tipos de datos,1. Buscar cada tipo de servicio\n2. Verificar procesamiento,"Datos procesados correctamente:
- Médicos → MedicoMdl → ItemsResultsMdl
- Hospitales → HospitalMdl → ItemsResultsMdl
- Clínicas → ClinicaMdl → ItemsResultsMdl
- Otros → SauxMdl → ItemsResultsMdl",,,Pendiente,Switch case para cada tipo con mapeo
DIR-099,FilterResultsPage,Controller lifecycle,Funcional - Ciclo de vida,Verificar inicialización y limpieza del controller,1. Navegar a FilterResultsPage\n2. Navegar fuera de FilterResultsPage,"Lifecycle correcto:
- onInit() configura scroll listener
- onClose() remueve listeners
- ScrollController limpiado correctamente",,,Pendiente,GetxController lifecycle con ScrollController
DIR-100,FilterResultsPage,Scroll listener,Funcional - Scroll,Verificar funcionamiento del scroll listener,1. Realizar scroll en lista de resultados\n2. Verificar detección de posición,"Scroll listener funcional:
- scrollController.addListener configurado
- _onScroll() detecta maxScrollExtent
- Paginación activada correctamente",,,Pendiente,ScrollController listener con _onScroll
DIR-101,ItemMapPage,Pantalla completa,UI - Carga general,Validar carga completa de la pantalla de mapa con todos sus elementos,1. Tocar cualquier resultado en FilterResultsPage\n2. Verificar carga de ItemMapPage,"Pantalla se muestra correctamente con:
- AppBar con título del tipo de búsqueda
- Mapa de Google Maps centrado en ubicación
- Pin central en ubicación
- Botones de transporte (GPS, auto, caminar)
- Información detallada del item
- Teléfono con funcionalidad de llamada",,,Pendiente,Elementos basados en argumentos recibidos
DIR-102,ItemMapPage,AppBar,UI - Elemento,Validar AppBar con título dinámico,1. Navegar a ItemMapPage\n2. Verificar AppBar,"AppBar visible con:
- Fondo blanco
- Título = titleAppBar pasado como argumento
- Botón back estándar",,,Pendiente,Título: _c.state!.name de argumentos
DIR-103,ItemMapPage,Google Maps,UI - Mapa,Verificar configuración y visualización del mapa,1. Navegar a ItemMapPage\n2. Verificar mapa,"Mapa configurado correctamente:
- Altura: 50% de pantalla
- Posición inicial centrada en lat/lng del item
- Zoom: 14.4746
- Gestos deshabilitados (scroll, zoom, rotate)
- myLocationEnabled: true
- myLocationButtonEnabled: false",,,Pendiente,GoogleMap con configuraciones específicas
DIR-104,ItemMapPage,Pin central,UI - Marcador,Verificar pin central de ubicación,1. Navegar a ItemMapPage\n2. Verificar pin central,"Pin central visible:
- Ícono: Icons.location_on
- Color: ColorPalette.primary
- Tamaño: 40px
- Posición: Center del Stack",,,Pendiente,Icon superpuesto en Stack center
DIR-105,ItemMapPage,Botón GPS,UI - Botón,Verificar botón de ubicación actual,1. Navegar a ItemMapPage\n2. Localizar botón GPS,"Botón GPS visible:
- Ícono: Icons.my_location
- Color: #FF59677D
- Tamaño: 35px
- Border radius izquierdo
- Fondo blanco",,,Pendiente,GestureDetector con goToCurrentLocation
DIR-106,ItemMapPage,Botón auto,UI - Botón condicional,Verificar botón de navegación en auto,1. Navegar a ItemMapPage con coordenadas válidas,"Botón auto visible si lat/lng no están vacíos:
- Ícono: Icons.directions_car
- Color: #FF59677D
- Tamaño: 35px
- Fondo blanco
- Padding entre botones",,,Pendiente,Condicional: lat.isNotEmpty && lng.isNotEmpty
DIR-107,ItemMapPage,Botón caminar,UI - Botón condicional,Verificar botón de navegación caminando,1. Navegar a ItemMapPage con coordenadas válidas,"Botón caminar visible si lat/lng no están vacíos:
- Ícono: Icons.directions_walk
- Color: #FF59677D
- Tamaño: 35px
- Border radius derecho
- Fondo blanco",,,Pendiente,Condicional: lat.isNotEmpty && lng.isNotEmpty
DIR-108,ItemMapPage,Información título,UI - Texto,Verificar título del item,1. Navegar a ItemMapPage\n2. Verificar información textual,"Título visible:
- Texto: title del item
- Estilo: titleMedium
- maxLines: 2
- overflow: ellipsis",,,Pendiente,Text con _c.state!.title
DIR-109,ItemMapPage,Información subtítulo,UI - Texto,Verificar subtítulo del item,1. Navegar a ItemMapPage\n2. Verificar subtítulo,"Subtítulo visible:
- Texto: subtitle del item
- Estilo: bodySmall
- Padding vertical: 15px",,,Pendiente,Padding simétrico vertical
DIR-110,ItemMapPage,Información descripción,UI - Texto,Verificar descripción del item,1. Navegar a ItemMapPage\n2. Verificar descripción,"Descripción visible:
- Texto: desc del item
- Estilo: bodyMedium
- maxLines: 2
- overflow: ellipsis",,,Pendiente,Text con _c.state!.desc
DIR-111,ItemMapPage,Información teléfono,UI - Texto interactivo,Verificar teléfono del item con funcionalidad,1. Navegar a ItemMapPage\n2. Verificar teléfono,"Teléfono visible:
- Texto: tel del item
- Estilo: bodyMedium con color primary
- Clickeable (InkWell)
- maxLines: 2, overflow: ellipsis
- Padding vertical: 10px",,,Pendiente,InkWell con launchPhone
DIR-112,ItemMapPage,Funcionalidad GPS,Funcional - Localización,Verificar funcionalidad de ir a ubicación actual,1. Tocar botón GPS\n2. Verificar comportamiento,"Funcionalidad GPS:
- Verificación de servicios habilitados
- Verificación de permisos de ubicación
- Solicitud de permisos si es necesario
- goToCurrentLocation() ejecutado",,,Pendiente,Geolocator con manejo de permisos
DIR-113,ItemMapPage,Navegación auto,Funcional - Direcciones,Verificar navegación en modo auto,1. Tocar botón auto\n2. Verificar navegación,"Navegación auto:
- getRouteTransportMode(isModeDriving: true)
- Apertura de app de navegación
- Modo conducir activado",,,Pendiente,InkWell onTap con parámetro true
DIR-114,ItemMapPage,Navegación caminar,Funcional - Direcciones,Verificar navegación en modo caminar,1. Tocar botón caminar\n2. Verificar navegación,"Navegación caminar:
- getRouteTransportMode(isModeDriving: false)
- Apertura de app de navegación
- Modo caminar activado",,,Pendiente,InkWell onTap con parámetro false
DIR-115,ItemMapPage,Funcionalidad teléfono,Funcional - Llamada,Verificar funcionalidad de llamada telefónica,1. Tocar número de teléfono\n2. Verificar comportamiento,"Llamada telefónica:
- launchPhone() ejecutado
- URL launcher con esquema tel:
- Apertura de app de llamadas",,,Pendiente,url_launcher con tel: scheme
DIR-116,ItemMapPage,Estado Loading,Estado - Carga,Verificar estado de loading durante inicialización,1. Navegar a ItemMapPage\n2. Observar durante carga inicial,Pantalla muestra LoadingGnp centrado mientras inicializa mapa y datos,,,Pendiente,RxStatus.loading() en onInit
DIR-117,ItemMapPage,Argumentos recibidos,Integración - Datos,Verificar recepción correcta de argumentos desde FilterResultsPage,1. Navegar desde FilterResultsPage\n2. Verificar argumentos,"Argumentos recibidos correctamente:
- item: ItemsResultsMdl completo
- titleAppBar: string para título
- Todos los campos mapeados correctamente",,,Pendiente,Get.arguments en onInit()
DIR-118,ItemMapPage,Inicialización mapa,Integración - Google Maps,Verificar inicialización correcta del mapa,1. Navegar a ItemMapPage\n2. Verificar inicialización mapa,"Mapa inicializado correctamente:
- CameraPosition con lat/lng parseados
- mapCtrler Completer configurado
- mapKey único asignado
- onMapCreated callback configurado",,,Pendiente,GoogleMapController con Completer
DIR-119,ItemMapPage,Lifecycle observador,Funcional - Ciclo de vida,Verificar manejo del ciclo de vida de la app,1. Minimizar y restaurar app desde ItemMapPage,"Lifecycle manejado correctamente:
- WidgetsBindingObserver registrado
- didChangeAppLifecycleState detecta resume
- Mapa se reconstruye en resume
- mapKey actualizado para evitar pantalla en blanco",,,Pendiente,WidgetsBindingObserver con AppLifecycleState
DIR-120,ItemMapPage,Manejo coordenadas inválidas,Funcional - Validación,Verificar comportamiento con coordenadas inválidas,1. Navegar con lat/lng vacíos o inválidos\n2. Verificar comportamiento,"Coordenadas inválidas manejadas:
- double.tryParse con fallback a 0
- Mapa se centra en 0,0 sin errores
- Botones de navegación se ocultan
- No hay crashes por parsing",,,Pendiente,double.tryParse() con ?? 0
DIR-121,ItemMapPage,Permisos ubicación denegados,Funcional - Permisos,Verificar manejo de permisos denegados,1. Denegar permisos de ubicación\n2. Tocar botón GPS,"Permisos denegados manejados:
- Verificación de LocationPermission
- Solicitud de permisos si están denied
- Notificación de advertencia si no habilitados
- Manejo graceful sin crashes",,,Pendiente,Geolocator.checkPermission() y requestPermission()
DIR-122,ItemMapPage,Servicios ubicación deshabilitados,Funcional - Servicios,Verificar manejo de servicios de ubicación deshabilitados,1. Deshabilitar servicios de ubicación\n2. Tocar botón GPS,"Servicios deshabilitados manejados:
- isLocationServiceEnabled() verificado
- Notificación personalizada mostrada
- Mensaje: 'Servicios de ubicación desactivados'
- Return early sin intentar obtener ubicación",,,Pendiente,AppService.i.notifications.show con AlertType.warning
DIR-123,ItemMapPage,Controller lifecycle,Funcional - Ciclo de vida,Verificar inicialización y limpieza del controller,1. Navegar a ItemMapPage\n2. Navegar fuera de ItemMapPage,"Lifecycle correcto:
- onInit() configura observer y mapa
- onClose() remueve observer
- WidgetsBindingObserver limpiado
- Recursos liberados correctamente",,,Pendiente,GetxController lifecycle con observer cleanup
DIR-124,ItemMapPage,Reconstrucción mapa,Funcional - Optimización,Verificar reconstrucción del mapa al resumir app,1. Minimizar app desde ItemMapPage\n2. Restaurar app\n3. Verificar mapa,"Reconstrucción exitosa:
- mapCtrler reinicializado como nuevo Completer
- mapKey actualizado con UniqueKey
- Mapa evita pantalla en blanco
- Funcionalidad restaurada completamente",,,Pendiente,Optimización para evitar blank screen issue
DIR-125,ItemMapPage,Responsive layout,UI - Responsive,Verificar layout responsive del mapa,1. Probar en diferentes tamaños de pantalla\n2. Verificar dimensiones,"Layout responsive:
- Mapa: altura 50% de pantalla
- Botones: ancho 40% de pantalla, altura 5%
- Padding horizontal: 30px
- Elementos se adaptan correctamente",,,Pendiente,context.pHeight() y pWidth() responsive
DIR-126,ItemMapPage,Loading overlay container,UI - Loading estado,Verificar container de overlay durante cálculo de rutas,1. Tocar botón auto o caminar\n2. Verificar overlay durante cálculo,"Overlay loading visible cuando isLoadingRoute.value = true:
- Container con altura 50% de pantalla
- Color: Colors.grey.shade50
- Cubre completamente el mapa
- Se oculta cuando loading termina",,,Pendiente,Obx reactive con _c.isLoadingRoute.value
DIR-127,ItemMapPage,Loading indicator,UI - Elemento loading,Verificar indicador de carga durante cálculo de rutas,1. Iniciar cálculo de ruta\n2. Verificar CircularProgressIndicator,"Indicador loading visible:
- CircularProgressIndicator centrado
- Color: ColorPalette.primary
- Posición: Center del overlay
- Solo visible durante isLoadingRoute = true",,,Pendiente,Dentro de Column con mainAxisSize.min
DIR-128,ItemMapPage,Loading mensaje,UI - Texto informativo,Verificar mensaje informativo durante cálculo,1. Activar cálculo de ruta\n2. Verificar mensaje,"Mensaje loading visible:
- Texto: 'Calculando, por favor espere un momento...'
- Color: ColorPalette.primary
- FontWeight: w500
- Posición: Debajo del CircularProgressIndicator",,,Pendiente,Text con estilo específico en Column
DIR-129,ItemMapPage,Loading separador,UI - Espaciado,Verificar separador entre indicator y mensaje,1. Activar loading de ruta\n2. Verificar espaciado,"Separador visible:
- Divider con color transparente
- Separa CircularProgressIndicator del texto
- Mantiene espaciado consistente
- Parte del Column loading",,,Pendiente,Divider(color: Colors.transparent)
DIR-130,ItemMapPage,Estado loading reactivo,Funcional - Estado reactivo,Verificar reactividad del estado isLoadingRoute,1. Verificar estado inicial\n2. Activar cálculo de ruta\n3. Verificar cambio de estado,"Estado reactivo correcto:
- isLoadingRoute.value inicia en false
- Cambia a true al iniciar cálculo
- UI se actualiza automáticamente
- Vuelve a false al terminar",,,Pendiente,Obx() reactivo a cambios de estado
DIR-131,ItemMapPage,Loading auto navegación,Funcional - Loading específico,Verificar loading al activar navegación en auto,1. Tocar botón auto\n2. Verificar activación de loading,"Loading activado correctamente:
- isLoadingRoute.value = true
- Overlay y mensaje aparecen
- getRouteTransportMode(isModeDriving: true)
- Loading se mantiene durante cálculo",,,Pendiente,Loading específico para modo auto
DIR-132,ItemMapPage,Loading caminar navegación,Funcional - Loading específico,Verificar loading al activar navegación caminando,1. Tocar botón caminar\n2. Verificar activación de loading,"Loading activado correctamente:
- isLoadingRoute.value = true
- Overlay y mensaje aparecen
- getRouteTransportMode(isModeDriving: false)
- Loading se mantiene durante cálculo",,,Pendiente,Loading específico para modo caminar
DIR-133,ItemMapPage,Loading finalización,Funcional - Estado final,Verificar finalización correcta del loading,1. Iniciar cálculo de ruta\n2. Esperar finalización del cálculo,"Loading finaliza correctamente:
- isLoadingRoute.value vuelve a false
- Overlay desaparece (SizedBox.shrink())
- Mensaje e indicator se ocultan
- Mapa vuelve a ser interactuable",,,Pendiente,SizedBox.shrink() cuando loading = false
DIR-134,ItemMapPage,UX durante loading,UX - Experiencia usuario,Verificar experiencia de usuario durante loading,1. Activar cálculo de ruta\n2. Intentar interactuar con mapa,"Experiencia UX correcta:
- Mapa queda cubierto por overlay
- Usuario no puede interactuar durante cálculo
- Mensaje claro de estado
- Feedback visual inmediato",,,Pendiente,Container overlay previene interacción
DIR-135,ItemMapPage,Loading sin coordenadas,Funcional - Edge case,Verificar comportamiento loading con coordenadas inválidas,1. Intentar navegación sin coordenadas válidas\n2. Verificar estado loading,"Manejo correcto de edge case:
- Loading no se activa si no hay coordenadas
- Botones navegación ocultos si lat/lng vacíos
- No hay loading innecesario
- Estado consistente mantenido",,,Pendiente,Validación previa antes de activar loading
